checkpoint,checkpoint_label,workload,core_commit,plugin_commit,source_path,raw_result_path,execution_mode,real_online_evidence,benchmark_invocation_repeat_count,request_count_per_invocation,request_count_unit,warmup_count,warmup_detail,independent_3_repeat_median,public_display_label,internal_evidence_status,repeat_suite_path,repeat_group_present,canonical_aggregate_present,inferred_fields,exact_spec_hash,snapshot_data_source_label,evidence_grade,throughput_tps,ttft_ms,tbt_ms,error_rate
C1,2026-07-13 core health checkpoint,agent-research-online,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m1c-agent-0657f3f2a6-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m1c-agent-0657f3f2a6-03a12f9bdd-20260816/raw_benchmark_result.json,online,"raw serve result: completed=32, failed=0; server_log=true; independent_invocations=3",3,32,requests,,no benchmark warmup phase declared in the serve invocation,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m1c-agent-0657f3f2a6-03a12f9bdd-20260816/repeat_suite.json,False,False,same_spec.resolved_client_parameters.no_stream;same_spec.resolved_spec_hash,70446ab0d1019d0fa4a117ce9d43623421727d9638204c09b733deca3a7beaec,real-online-issue214-p0,A: raw artifacts plus independent 3-repeat median,205.7332217536722,3147.5261638115626,39.190706319470124,0.0
C1,2026-07-13 core health checkpoint,instructcoder-online,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m1c-instructcoder-0657f3f2a6-03a12f9bdd-20260817/run_leaderboard.json,submissions/stable-trend-m1c-instructcoder-0657f3f2a6-03a12f9bdd-20260817/raw_benchmark_result.json,online,"raw serve result: completed=2048, failed=0; server_log=true; independent_invocations=3",3,2048,requests,,no benchmark warmup phase declared in the serve invocation,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m1c-instructcoder-0657f3f2a6-03a12f9bdd-20260817/repeat_suite.json,False,False,,8b0eda0c27055ec8449469dde022d9b37bd7efb201622c811e1add76dd9ffc10,real-online-issue214-p0,A: raw artifacts plus independent 3-repeat median,126.09747243515905,114.89282208867735,30.743367457251033,0.0
C1,2026-07-13 core health checkpoint,prefix-repetition-online,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m1c-prefix-repetition-online-0657f3f2a6-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m1c-prefix-repetition-online-0657f3f2a6-03a12f9bdd-20260816/raw_benchmark_result.json,online,"raw serve result: completed=200, failed=0; server_log=true; independent_invocations=3",3,200,requests,,no benchmark warmup phase declared in the serve invocation,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m1c-prefix-repetition-online-0657f3f2a6-03a12f9bdd-20260816/repeat_suite.json,False,False,,e15c064444f8774db0760f330120b0b9cc6c92e2bb4b16734df11a2b8a290bea,real-online-stable-trend-delta,A: raw artifacts plus independent 3-repeat median,244.38238598709654,279.128922233358,40.950158805677695,0.0
C1,2026-07-13 core health checkpoint,random-latency,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m1c-random-latency-0657f3f2a6-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m1c-random-latency-0657f3f2a6-03a12f9bdd-20260816/raw_benchmark_result.json,offline,not real-online: offline raw benchmark result; offline_graph_proof=true; independent_invocations=3,3,30,measured iterations; batch_size=8,10,10 warmup iterations,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m1c-random-latency-0657f3f2a6-03a12f9bdd-20260816/repeat_suite.json,False,False,,3e81e3e00639f882933d45f5420a8e0813225bc6d7370a6f318cb207417c8f6a,real-online-stable-trend-delta,A: raw artifacts plus independent 3-repeat median,,4909.350469103083,,0.0
C1,2026-07-13 core health checkpoint,random-online,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m1c-random-online-0657f3f2a6-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m1c-random-online-0657f3f2a6-03a12f9bdd-20260816/raw_benchmark_result.json,online,"raw serve result: completed=200, failed=0; server_log=true; independent_invocations=3",3,200,requests,,no benchmark warmup phase declared in the serve invocation,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m1c-random-online-0657f3f2a6-03a12f9bdd-20260816/repeat_suite.json,False,False,,f8cc8fc26b4b9bb06d50f079174894a95d2bc0f49799374a652e6e04b75c8feb,real-online-issue214-p0,A: raw artifacts plus independent 3-repeat median,245.54045549215775,234.51388899469748,37.405154350825455,0.0
C1,2026-07-13 core health checkpoint,sharegpt-online,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m1c-sharegpt-online-0657f3f2a6-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m1c-sharegpt-online-0657f3f2a6-03a12f9bdd-20260816/raw_benchmark_result.json,online,"raw serve result: completed=200, failed=0; server_log=true; independent_invocations=3",3,200,requests,,no benchmark warmup phase declared in the serve invocation,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m1c-sharegpt-online-0657f3f2a6-03a12f9bdd-20260816/repeat_suite.json,False,False,,66100e24033a9724a65e6e245d1e33a0e933fbfdcd850558428ac095ae5b4ded,real-online-stable-trend-delta,A: raw artifacts plus independent 3-repeat median,204.33604007443557,128.6954714776948,31.832467087557983,0.0
C1,2026-07-13 core health checkpoint,sharegpt-throughput,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m1c-sharegpt-throughput-0657f3f2a6-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m1c-sharegpt-throughput-0657f3f2a6-03a12f9bdd-20260816/raw_benchmark_result.json,offline,not real-online: offline raw benchmark result; offline_graph_proof=true; independent_invocations=3,3,200,requests,0,0 benchmark warmup requests,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m1c-sharegpt-throughput-0657f3f2a6-03a12f9bdd-20260816/repeat_suite.json,False,False,,c611658f1d2189d7d267df78bfcf3ba572429d815ec680fe4e8d1313912198fd,real-offline-issue214-p0,A: raw artifacts plus independent 3-repeat median,2054.4978509324433,,,0.0
C1,2026-07-13 core health checkpoint,sonnet-throughput,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m1c-sonnet-throughput-0657f3f2a6-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m1c-sonnet-throughput-0657f3f2a6-03a12f9bdd-20260816/raw_benchmark_result.json,offline,not real-online: offline raw benchmark result; offline_graph_proof=true; independent_invocations=3,3,200,requests,0,0 benchmark warmup requests,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m1c-sonnet-throughput-0657f3f2a6-03a12f9bdd-20260816/repeat_suite.json,False,False,,ecaff7738d2288c97fd8f41df61e62480a1706ea157cd0ed9a6093d805514cd1,real-online-stable-trend-delta,A: raw artifacts plus independent 3-repeat median,3654.7761919399795,,,0.0
C1,2026-07-13 core health checkpoint,visionarena-online,0657f3f2a6867c0ad33de6227b137ddc49a0c638,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m1c-visionarena-0657f3f2a6-03a12f9bdd-20260817/run_leaderboard.json,submissions/stable-trend-m1c-visionarena-0657f3f2a6-03a12f9bdd-20260817/raw_benchmark_result.json,online,"raw serve result: completed=1000, failed=0; server_log=true; independent_invocations=3",3,1000,requests,,no benchmark warmup phase declared in the serve invocation,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m1c-visionarena-0657f3f2a6-03a12f9bdd-20260817/repeat_suite.json,False,False,,22e4a99de4a4f3ee7daf9ae01d443809ac9486bc22dd84ecf21396474622d6b5,real-online-stable-trend-delta,A: raw artifacts plus independent 3-repeat median,113.08003884234083,431.60057178419083,21.008289363501635,0.0
C2,2026-07-16 core health checkpoint,agent-research-online,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m2-agent-73187bc8ba-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m2-agent-73187bc8ba-03a12f9bdd-20260816/raw_benchmark_result.json,online,"raw serve result: completed=32, failed=0; server_log=true; independent_invocations=3",3,32,requests,,no benchmark warmup phase declared in the serve invocation,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m2-agent-73187bc8ba-03a12f9bdd-20260816/repeat_suite.json,False,False,same_spec.resolved_client_parameters.no_stream;same_spec.resolved_spec_hash,70446ab0d1019d0fa4a117ce9d43623421727d9638204c09b733deca3a7beaec,real-online-stable-trend-delta,A: raw artifacts plus independent 3-repeat median,205.7688001174439,3109.841292462079,39.578513548122814,0.0
